Number,Category,Action_needed,Question,Subcategory,Action,Time,Sentence
1,lights,1,0,kitchen,on,today,Illuminate the kitchen today.
2,lights,1,0,kitchen,on,tomorrow,Illuminate the kitchen tomorrow.
3,lights,1,0,kitchen,on,hour,Turn on the light in the kitchen in 10 hours.
4,lights,1,0,kitchen,on,day,Turn on the light in the kitchen in 1 day.
5,lights,1,0,diningroom,on,today,Illuminate the dining room today.
6,lights,0,0,diningroom,on,today,Don't illuminate the dining room today.
7,lights,1,0,diningroom,on,tomorrow,Illuminate the dining room tomorrow.
8,lights,1,0,diningroom,on,hour,Turn on the light in the dinin room in 10 hours.
9,lights,1,0,diningroom,on,day,Turn on the light in the dining room in 1 day.
10,lights,1,0,bathroom,on,now,Turn on the light in the bathroom.
11,lights,0,0,none,none,now,Don't turn on the light right now.
12,lights,0,0,none,none,now,I would get mad if you'd put on the light right now.
13,lights,1,0,none,on,now,I would not like it if you wouldn't turn on the light right now.
14,lights,1,1,livingroom,on,now,Is the light on in the living room.
15,lights,1,0,livingroom,on,hour,Would you illuminate the living room in one hour for me please.
16,lights,1,0,none,on,now,It would be great if you'd turn on the light for me.
17,lights,1,0,kitchen,on,now,Light on in kitchen.
18,lights,1,0,livingroom,off,hour,Light off in living room in a few hours.
19,lights,1,0,basement,off,now,Turn the light off in the basement.
20,lights,1,0,diningroom,off,now,Turn the light off in the dining room.
21,lights,1,0,none,on,now,I would like if you made it brighter.
22,lights,1,0,none,on,minute,I would like if you made it brighter in 3 minutes.
23,lights,1,1,none,on,minute,Can you make it brighter here in 8 minutes?
24,lights,1,1,none,off,now,Can you make it more dark here?
25,lights,0,0,none,none,now,Don't make it more dark here.
26,lights,0,0,diningroom,none,now,I would get mad if you would turn on the light in the dining room right now.
27,lights,1,1,bathroom,on,now,Is the light on in the bathroom?
28,lights,1,1,bathroom,on,now,Is the light on in the bathroom.
29,lights,1,1,bathroom,on,now,Has the light been on long in the bathroom?
30,lights,1,1,bathroom,off,now,Has the light been off long in the kitchen?
31,lights,1,1,bathroom,on,now,Is the light in the bathroom on?
32,lights,1,1,none,on,now,Did you turn on the light already?
33,lights,1,1,none,on,now,Can you please turn on the light?
34,lights,1,0,none,on,now,Help me to turn on the light.
35,lights,1,1,none,on,minute,Can you please turn on the light in a minute?
36,lights,1,0,none,on,minute,Help me to turn on the light in a minute.
37,lights,1,0,none,on,now,It is so dark here.
38,lights,1,0,none,on,now,I can't see anything.
39,lights,1,0,none,on,now,Lighten the room.
